feature,importance,fold
MAX(bureau.MONTHS_BALANCE_SIZE),68,1
MIN(bureau.DAYS_CREDIT),152,1
MIN(bureau.CREDIT_DAY_OVERDUE),0,1
MIN(bureau.DAYS_CREDIT_ENDDATE),122,1
MIN(bureau.DAYS_ENDDATE_FACT),139,1
MIN(bureau.AMT_CREDIT_MAX_OVERDUE),30,1
MIN(bureau.CNT_CREDIT_PROLONG),0,1
MIN(bureau.AMT_CREDIT_SUM),255,1
MIN(bureau.AMT_CREDIT_SUM_DEBT),108,1
MIN(bureau.AMT_CREDIT_SUM_LIMIT),6,1
MIN(bureau.AMT_CREDIT_SUM_OVERDUE),0,1
MIN(bureau.DAYS_CREDIT_UPDATE),110,1
MIN(bureau.AMT_ANNUITY),41,1
MIN(bureau.NEW_AMT_CREDIT_SUM_DEBT_DIVIDE_AMT_CREDIT_SUM),25,1
MIN(bureau.NEW_AMT_CREDIT_SUM_LIMIT_DIVIDE_AMT_CREDIT_SUM),0,1
MIN(bureau.MONTHS_BALANCE_SIZE),61,1
MEDIAN(bureau.DAYS_CREDIT),308,1
MEDIAN(bureau.CREDIT_DAY_OVERDUE),0,1
MEDIAN(bureau.DAYS_CREDIT_ENDDATE),362,1
MEDIAN(bureau.DAYS_ENDDATE_FACT),181,1
MEDIAN(bureau.AMT_CREDIT_MAX_OVERDUE),104,1
MEDIAN(bureau.CNT_CREDIT_PROLONG),0,1
MEDIAN(bureau.AMT_CREDIT_SUM),341,1
MEDIAN(bureau.AMT_CREDIT_SUM_DEBT),131,1
MEDIAN(bureau.AMT_CREDIT_SUM_LIMIT),25,1
MEDIAN(bureau.AMT_CREDIT_SUM_OVERDUE),0,1
MEDIAN(bureau.DAYS_CREDIT_UPDATE),199,1
MEDIAN(bureau.AMT_ANNUITY),55,1
MEDIAN(bureau.NEW_AMT_CREDIT_SUM_DEBT_DIVIDE_AMT_CREDIT_SUM),78,1
MEDIAN(bureau.NEW_AMT_CREDIT_SUM_LIMIT_DIVIDE_AMT_CREDIT_SUM),0,1
MEDIAN(bureau.MONTHS_BALANCE_SIZE),70,1
COUNT(bureau),92,1
MODE(bureau.CREDIT_ACTIVE),16,1
MODE(bureau.CREDIT_CURRENCY),0,1
MODE(bureau.CREDIT_TYPE),59,1
NUM_UNIQUE(bureau.CREDIT_ACTIVE),9,1
NUM_UNIQUE(bureau.CREDIT_CURRENCY),0,1
NUM_UNIQUE(bureau.CREDIT_TYPE),29,1
SUM(installments_payments.NUM_INSTALMENT_VERSION),53,1
SUM(installments_payments.NUM_INSTALMENT_NUMBER),70,1
SUM(installments_payments.AMT_INSTALMENT),64,1
SUM(installments_payments.AMT_PAYMENT),148,1
SUM(installments_payments.NEW_AMT_PAYMENT_DIVIDE_AMT_INSTALMENT),69,1
SUM(installments_payments.NEW_DAYS_ENTRY_PAYMENT_MINUS_DAYS_INSTALMENT_BEFORE),57,1
SUM(installments_payments.NEW_DAYS_ENTRY_PAYMENT_MINUS_DAYS_INSTALMENT_OVERDUE),149,1
STD(installments_payments.NUM_INSTALMENT_VERSION),95,1
STD(installments_payments.NUM_INSTALMENT_NUMBER),71,1
STD(installments_payments.AMT_INSTALMENT),62,1
STD(installments_payments.AMT_PAYMENT),50,1
STD(installments_payments.NEW_AMT_PAYMENT_DIVIDE_AMT_INSTALMENT),60,1
STD(installments_payments.NEW_DAYS_ENTRY_PAYMENT_MINUS_DAYS_INSTALMENT_BEFORE),111,1
STD(installments_payments.NEW_DAYS_ENTRY_PAYMENT_MINUS_DAYS_INSTALMENT_OVERDUE),134,1
MAX(installments_payments.NUM_INSTALMENT_VERSION),6,1
MAX(installments_payments.NUM_INSTALMENT_NUMBER),38,1
MAX(installments_payments.AMT_INSTALMENT),63,1
MAX(installments_payments.AMT_PAYMENT),43,1
MAX(installments_payments.NEW_AMT_PAYMENT_DIVIDE_AMT_INSTALMENT),12,1
MAX(installments_payments.NEW_DAYS_ENTRY_PAYMENT_MINUS_DAYS_INSTALMENT_BEFORE),22,1
MAX(installments_payments.NEW_DAYS_ENTRY_PAYMENT_MINUS_DAYS_INSTALMENT_OVERDUE),75,1
MIN(installments_payments.NUM_INSTALMENT_VERSION),0,1
MIN(installments_payments.AMT_INSTALMENT),122,1
MIN(installments_payments.AMT_PAYMENT),164,1
MIN(installments_payments.NEW_AMT_PAYMENT_DIVIDE_AMT_INSTALMENT),122,1
MIN(installments_payments.NEW_DAYS_ENTRY_PAYMENT_MINUS_DAYS_INSTALMENT_BEFORE),0,1
MIN(installments_payments.NEW_DAYS_ENTRY_PAYMENT_MINUS_DAYS_INSTALMENT_OVERDUE),47,1
MEDIAN(installments_payments.NUM_INSTALMENT_VERSION),6,1
MEDIAN(installments_payments.NUM_INSTALMENT_NUMBER),23,1
MEDIAN(installments_payments.AMT_INSTALMENT),115,1
MEDIAN(installments_payments.AMT_PAYMENT),135,1
MEDIAN(installments_payments.NEW_AMT_PAYMENT_DIVIDE_AMT_INSTALMENT),23,1
MEDIAN(installments_payments.NEW_DAYS_ENTRY_PAYMENT_MINUS_DAYS_INSTALMENT_BEFORE),1,1
MEDIAN(installments_payments.NEW_DAYS_ENTRY_PAYMENT_MINUS_DAYS_INSTALMENT_OVERDUE),80,1
COUNT(installments_payments),22,1
SUM(pos_cash_balance.CNT_INSTALMENT),50,1
SUM(pos_cash_balance.CNT_INSTALMENT_FUTURE),56,1
SUM(pos_cash_balance.SK_DPD),23,1
SUM(pos_cash_balance.SK_DPD_DEF),25,1
STD(pos_cash_balance.CNT_INSTALMENT),75,1
STD(pos_cash_balance.CNT_INSTALMENT_FUTURE),116,1
STD(pos_cash_balance.SK_DPD),29,1
STD(pos_cash_balance.SK_DPD_DEF),61,1
MAX(pos_cash_balance.CNT_INSTALMENT),7,1
MAX(pos_cash_balance.CNT_INSTALMENT_FUTURE),11,1
MAX(pos_cash_balance.SK_DPD),4,1
MAX(pos_cash_balance.SK_DPD_DEF),11,1
MIN(pos_cash_balance.CNT_INSTALMENT),24,1
MIN(pos_cash_balance.CNT_INSTALMENT_FUTURE),5,1
MEDIAN(pos_cash_balance.CNT_INSTALMENT),35,1
MEDIAN(pos_cash_balance.CNT_INSTALMENT_FUTURE),79,1
MEDIAN(pos_cash_balance.SK_DPD),1,1
MEDIAN(pos_cash_balance.SK_DPD_DEF),0,1
COUNT(pos_cash_balance),1,1
MODE(pos_cash_balance.NAME_CONTRACT_STATUS),0,1
NUM_UNIQUE(pos_cash_balance.NAME_CONTRACT_STATUS),9,1
SUM(credit_card_balance.AMT_BALANCE),3,1
SUM(credit_card_balance.AMT_CREDIT_LIMIT_ACTUAL),28,1
SUM(credit_card_balance.AMT_DRAWINGS_ATM_CURRENT),18,1
SUM(credit_card_balance.AMT_DRAWINGS_CURRENT),12,1
SUM(credit_card_balance.AMT_DRAWINGS_OTHER_CURRENT),0,1
SUM(credit_card_balance.AMT_DRAWINGS_POS_CURRENT),13,1
SUM(credit_card_balance.AMT_INST_MIN_REGULARITY),11,1
SUM(credit_card_balance.AMT_PAYMENT_CURRENT),11,1
SUM(credit_card_balance.AMT_PAYMENT_TOTAL_CURRENT),13,1
SUM(credit_card_balance.AMT_RECEIVABLE_PRINCIPAL),5,1
SUM(credit_card_balance.AMT_RECIVABLE),3,1
SUM(credit_card_balance.AMT_TOTAL_RECEIVABLE),0,1
SUM(credit_card_balance.CNT_DRAWINGS_ATM_CURRENT),6,1
SUM(credit_card_balance.CNT_DRAWINGS_CURRENT),3,1
SUM(credit_card_balance.CNT_DRAWINGS_OTHER_CURRENT),0,1
SUM(credit_card_balance.CNT_DRAWINGS_POS_CURRENT),9,1
SUM(credit_card_balance.CNT_INSTALMENT_MATURE_CUM),6,1
SUM(credit_card_balance.SK_DPD),3,1
SUM(credit_card_balance.SK_DPD_DEF),1,1
SUM(credit_card_balance.NEW_AMT_BALANCE_DIVIDE_AMT_CREDIT_LIMIT_ACTUAL),12,1
STD(credit_card_balance.AMT_BALANCE),10,1
STD(credit_card_balance.AMT_CREDIT_LIMIT_ACTUAL),21,1
STD(credit_card_balance.AMT_DRAWINGS_ATM_CURRENT),15,1
STD(credit_card_balance.AMT_DRAWINGS_CURRENT),6,1
STD(credit_card_balance.AMT_DRAWINGS_OTHER_CURRENT),5,1
STD(credit_card_balance.AMT_DRAWINGS_POS_CURRENT),14,1
STD(credit_card_balance.AMT_INST_MIN_REGULARITY),16,1
STD(credit_card_balance.AMT_PAYMENT_CURRENT),10,1
STD(credit_card_balance.AMT_PAYMENT_TOTAL_CURRENT),4,1
STD(credit_card_balance.AMT_RECEIVABLE_PRINCIPAL),11,1
STD(credit_card_balance.AMT_RECIVABLE),3,1
STD(credit_card_balance.AMT_TOTAL_RECEIVABLE),1,1
STD(credit_card_balance.CNT_DRAWINGS_ATM_CURRENT),44,1
STD(credit_card_balance.CNT_DRAWINGS_CURRENT),30,1
STD(credit_card_balance.CNT_DRAWINGS_OTHER_CURRENT),0,1
STD(credit_card_balance.CNT_DRAWINGS_POS_CURRENT),14,1
STD(credit_card_balance.CNT_INSTALMENT_MATURE_CUM),6,1
STD(credit_card_balance.SK_DPD),5,1
STD(credit_card_balance.SK_DPD_DEF),7,1
STD(credit_card_balance.NEW_AMT_BALANCE_DIVIDE_AMT_CREDIT_LIMIT_ACTUAL),11,1
MAX(credit_card_balance.AMT_BALANCE),7,1
MAX(credit_card_balance.AMT_CREDIT_LIMIT_ACTUAL),3,1
MAX(credit_card_balance.AMT_DRAWINGS_ATM_CURRENT),19,1
MAX(credit_card_balance.AMT_DRAWINGS_CURRENT),11,1
MAX(credit_card_balance.AMT_DRAWINGS_OTHER_CURRENT),2,1
MAX(credit_card_balance.AMT_DRAWINGS_POS_CURRENT),13,1
MAX(credit_card_balance.AMT_INST_MIN_REGULARITY),9,1
MAX(credit_card_balance.AMT_PAYMENT_CURRENT),12,1
MAX(credit_card_balance.AMT_PAYMENT_TOTAL_CURRENT),9,1
